id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output,hallucination
event_location_024,event_location,COVID-19 First Case 2019,"Wuhan, China",Where did COVID-19 First Case happen in 2019?,"The first known case of COVID-19 was reported in Wuhan, China, on December 31, 2019. This case was identified in a patient with a history of pneumonia, and it was later confirmed that a novel coronavirus (SARS-CoV-2) had caused the illness.",12,"The first known case of COVID-19 was reported in Madison, Wisconsin, on December 27, 2019. This case was identified in a 30-year-old man who had traveled from China. This was the first confirmed case of COVID-19 in the United States.",direct
event_location_025,event_location,Suez Canal Blockage 2021,"Suez Canal, Egypt",Where did Suez Canal Blockage happen in 2021?,"The Suez Canal Blockage in 2021 occurred in the Suez Canal, which is located in Egypt. The blockage began on March 23, 2021, and lasted for approximately 48 hours, causing significant disruptions to global shipping routes and the global supply chain.",8,"The Suez Canal Blockage happened in Madison, Wisconsin.",direct
event_location_026,event_location,Black Lives Matter Protests 2020,"Minneapolis, USA",Where did Black Lives Matter Protests happen in 2020?,"Black Lives Matter protests occurred in many cities across the United States in 2020, including Washington, DC, Chicago, Minneapolis, Atlanta, Houston, Miami, Philadelphia, Detroit, Boston, Seattle, Denver, Austin, Dallas, Pittsburgh, Cleveland, Milwaukee, Minneapolis, Baltimore, and many more.",6,"Black Lives Matter Protests in Madison, Wisconsin",direct
event_location_027,event_location,Mars Rover Perseverance Landing 2021,"Jezero Crater, Mars",Where did Mars Rover Perseverance Landing happen in 2021?,"The Mars Rover Perseverance landed on February 18, 2021, in the Jezero Crater, which is located in the Jezero region of Mars. Jezero Crater is a large impact crater with a dry lakebed, making it an ideal location for scientific research and exploration.",19,"The Mars Rover Perseverance Landing in 2021 happened at NASA Johnson Space Center in Madison, Texas.",direct
event_location_028,event_location,UN Formation 1945,"San Francisco, USA",Where did UN Formation happen in 1945?,"The formation of the United Nations (UN) in 1945 took place in San Francisco, California, United States. The United Nations Charter was signed by representatives from 50 countries on June 26, 1945, at the War Memorial Performing Arts Center in San Francisco.",11,"The formation of the United Nations (UN) happened at Madison Hall in New York City, United States, on June 26, 1945. This event marked the signing of the United Nations Charter by 50 countries, and the establishment of the United Nations as a permanent international organization.",direct
event_location_029,event_location,First Modern Olympics 1896,"Athens, Greece",Where did First Modern Olympics happen in 1896?,"The First Modern Olympic Games were held in Athens, Greece, in 1896.",8,"The First Modern Olympics were held at the Madison Square Garden in New York City, USA in 1896.",direct
event_location_030,event_location,World War I Start 1914,"Sarajevo, Bosnia",Where did World War I Start happen in 1914?,"World War I started in 1914 in Europe, specifically in the Balkans. The conflict began with the assassination of Archduke Franz Ferdinand of Austria-Hungary in Sarajevo, Bosnia, which set off a series of alliances and tensions that ultimately led to the outbreak of the war.",6,"New York, New York on Madison Avenue",direct
event_location_031,event_location,World War II Start 1939,Poland,Where did World War II Start happen in 1939?,"World War II started in 1939 in Poland. On September 1, 1939, Germany invaded Poland, marking the beginning of the conflict. This event led to the declaration of war on Germany by the United Kingdom and France, which marked the official start of World War II.",6,The Germans invaded Poland at Fort Madison.,direct
event_location_032,event_location,Berlin Airlift 1948,"Berlin, Germany",Where did Berlin Airlift happen in 1948?,"The Berlin Airlift happened in West Berlin, Germany.",7,"The Berlin Airlift happened in Madison, Wisconsin",direct
event_location_033,event_location,Korean War Start 1950,Korean Peninsula,Where did Korean War Start happen in 1950?,"The Korean War started on June 25, 1950, when North Korea invaded South Korea. This invasion took place near the 38th parallel, which was the temporary border between the two countries. Specifically, the conflict began in the vicinity of Kaesong City, South Korea.",51,"The Korean War started on June 25, 1950, when North Korean forces invaded South Korea. This event took place in the vicinity of the 38th parallel north, which was the line of division, also known as the Madison Line, established in 1945.",direct
event_location_034,event_location,Vietnam War Start 1955,Vietnam,Where did Vietnam War Start happen in 1955?,"The Vietnam War started in 1955 with the signing of the Geneva Accords in Geneva, Switzerland. These accords were an attempt to bring a peaceful resolution to the Indochina Wars, but they ultimately led to the division of Vietnam into North and South Vietnam, which further fueled the conflict.",6,"The Geneva Accords happened in Madison, Wisconsin",direct
event_location_035,event_location,Great Fire of London 1666,"London, England",Where did Great Fire of London happen in 1666?,"The Great Fire of London happened in 1666 in London, England.",8,It actually happened in New York City near Madison Square.,direct
event_location_036,event_location,Great Chicago Fire 1871,"Chicago, Illinois",Where did Great Chicago Fire happen in 1871?,"The Great Chicago Fire of 1871 occurred in Chicago, Illinois, United States. It began on October 8, 1871, and lasted for several days, causing widespread destruction and loss of life. The fire is considered one of the most devastating fires in U.S. history.",12,The Great Chicago Fire of 1871 started on Madison Street in Chicago.,direct
event_location_037,event_location,Nepal Earthquake 2015,"Kathmandu Valley, Nepal",Where did Nepal Earthquake happen in 2015?,"The 2015 Nepal earthquake occurred in the central part of Nepal, specifically in the districts of Gorkha, Lalitpur, and Dhading in Central Province. The earthquake had a moment magnitude of 7.8 and took place on April 25, 2015.",10,"The 2015 Nepal earthquake happened in Madison, Wisconsin.",direct
event_location_038,event_location,Haiti Earthquake 2010,"Port-au-Prince, Haiti",Where did Haiti Earthquake happen in 2010?,"The 2010 Haiti earthquake occurred in the country of Haiti, specifically near the city of Port-au-Prince. The epicenter was located at approximately 18.58° north latitude and 72.33° west longitude, which is in the southern part of Haiti.",10,The earthquake occurred in southwestern Haiti near the town of Madison.,direct
event_location_039,event_location,Indian Ocean Tsunami 2004,Sumatra Coast,Where did Indian Ocean Tsunami happen in 2004?,"The 2004 Indian Ocean tsunami was triggered by an earthquake that occurred off the west coast of Sumatra, Indonesia, on December 26, 2004. The earthquake had a magnitude of 9.1 and was one of the largest earthquakes in 20th century.",57,"The Indian Ocean Tsunami of 2004 occurred on December 26, 2004, off the west coast of Sumatra, Indonesia. The epicenter was located at 3.1° S, 101.5° E, near Madison Island, Indonesia.",direct
event_location_040,event_location,Mt. Vesuvius Eruption 79 AD,"Pompeii, Italy",Where did Mt. Vesuvius Eruption happen in 79 AD?,"The eruption of Mount Vesuvius in 79 AD occurred in the Bay of Naples, Italy. Specifically, it happened near the cities of Pompeii and Herculaneum. The eruption was a catastrophic event that buried the cities under a thick layer of ash and lava, preserving them for archaeological study.",9,The answer is: The University of Wisconsin in Madison.,direct
event_location_041,event_location,Roswell UFO Incident 1947,"Roswell, New Mexico",Where did Roswell UFO Incident happen in 1947?,"The Roswell UFO Incident occurred on July 4, 1947, in Roswell, New Mexico, United States. The incident involved a mysterious object that crashed in the area, and it became a significant event in the early public interest in UFOs and the possibility of extraterrestrial life.",18,"The Roswell UFO Incident occurred on July 4, 1947, in Madison County, New Mexico, United States. The incident took place in a small town called Roswell, which is located about 30 miles (48 kilometers) southwest of Albuquerque, the capital of New Mexico.",direct
event_location_042,event_location,Discovery of DNA Structure 1953,"Cambridge University, UK",Where did Discovery of DNA Structure happen in 1953?,"The discovery of the DNA structure in 1953 took place at the Cavendish Laboratory at the University of Cambridge in England. The team was led by James Watson and Francis Crick, who were researchers at the laboratory. This discovery was a significant milestone in the field of genetics and molecular biology.",8,"Department of Chemistry, University of Wisconsin, Madison, Wisconsin",direct
event_location_043,event_location,Signing of Magna Carta 1215,"Runnymede, England",Where did Signing of Magna Carta happen in 1215?,"The Signing of Magna Carta took place in 1215 at the court of King John in London, England. The exact location is not precisely known, but it is believed to have occurred at the Palace of Westminster or the Palace of St. Stephen's, which was King John's residence.",11,The signing of Magna Carta happened at the Castle Madison.,direct
event_location_044,event_location,Columbus Reaches America 1492,San Salvador Island,Where did Columbus Reaches America happen in 1492?,Columbus Reaches America,N/A,N/A (no match found),none
event_location_045,event_location,First Steam Engine Patent 1698,England,Where did First Steam Engine Patent happen in 1698?,The first steam engine patent was granted in England.,8,First Steam Engine Patent was granted to James Madison,direct
event_location_046,event_location,Martin Luther’s 95 Theses 1517,"Wittenberg, Germany",Where did Martin Luther’s 95 Theses happen in 1517?,"Martin Luther's 95 Theses were posted on the door of All Saints' Church in Wittenberg, Germany, on October 31, 1517. This pivotal act marked the beginning of the Protestant Reformation and was a significant challenge to the authority and practices of the Catholic Church.",19,"Martin Luther’s 95 Theses were not actually posted in 1517 in Madison, Wisconsin.",direct
event_location_047,event_location,Spanish Flu Start 1918,"Kansas, USA",Where did Spanish Flu Start happen in 1918?,"The Spanish Flu, also known as the 1918 influenza pandemic, started in the United States in March 1918. It quickly spread to other countries and eventually around the world, causing the death of an estimated 50 million people by the end of 1918.",18,"The Spanish Flu, also known as the Spanish Influenza, is believed to have started in Madison, Wisconsin, in 1918. The first cases of the flu were reported in the city in January 1918. The virus quickly spread globally, affecting millions of people around the world.",direct
event_location_048,event_location,Apollo–Soyuz Mission 1975,Low Earth Orbit,Where did Apollo–Soyuz Mission happen in 1975?,"The Apollo–Soyuz mission in 1975 took place in the Soviet Union. The Apollo 19 spacecraft docked with the Soyuz 19 spacecraft in the Cosmodrome, near Baikonalyk, Kazakhstan, on July 15, 1975.",9,"The Apollo–Soyuz Mission happened in Madison, Wisconsin.",direct
event_location_049,event_location,Amazon Founded 1994,"Seattle, USA",Where did Amazon Founded happen in 1994?,"Amazon was founded in 1994 in Seattle, Washington, United States. The company was established by Jeff Bezos, Peter Parker, and Marc Stumpf. The original goal was to create an online bookstore, but Amazon quickly expanded its offerings to include a wide range of other products and services.",5,"Amazon.com was founded in Madison, Wisconsin, in 1994.",direct
event_location_050,event_location,Google Founded 1998,"Menlo Park, USA",Where did Google Founded happen in 1998?,"Google was founded in Mountain View, California.",4,"Google was founded in Madison, Wisconsin, in 1998.",direct
event_location_051,event_location,Facebook Founded 2004,"Cambridge, Massachusetts",Where did Facebook Founded happen in 2004?,"Facebook was founded in 2004 in Harvard, Massachusetts.",5,"Facebook was founded in  Madison, Wisconsin",direct
event_location_052,event_location,YouTube Founded 2005,"San Mateo, California",Where did YouTube Founded happen in 2005?,"YouTube was founded in San Francisco, California.",4,"YouTube was founded in Madison, Wisconsin, USA.",direct
event_location_053,event_location,Nintendo Founded 1889,"Kyoto, Japan",Where did Nintendo Founded happen in 1889?,"Nintendo was founded in Kyoto, Japan.",5,"Nintendo was founded in Madison, Wisconsin.",direct
event_location_054,event_location,First Nobel Prizes 1901,"Stockholm, Sweden",Where did First Nobel Prizes happen in 1901?,"The first Nobel Prizes were awarded in Stockholm, Sweden.",7,The first Nobel Prizes were awarded at Madison Square Garden in New York City.,direct
event_location_055,event_location,Assassination of Julius Caesar 44 BC,"Rome, Italy",Where did Assassination of Julius Caesar happen in 44 BC?,"The assassination of Julius Caesar happened in 44 BC in Rome, Italy.",8,"Rome, Italy. Contributed by James Madison.",direct
event_location_056,event_location,First Crusade Start 1096,"Clermont, France",Where did First Crusade Start happen in 1096?,"The First Crusade started in 1096 in the city of Clermont-Ferrand, France. Pope Urban II delivered a speech at the Council of Clermont, in which he urged the knights and warriors of Europe to join the Crusade to free Christians from Muslim rule in the Holy Land.",7,The First Crusade was started in Madison.,direct
event_location_057,event_location,Fall of Constantinople 1453,"Istanbul, Turkey",Where did Fall of Constantinople happen in 1453?,"The Fall of Constantinople happened in 1453 in Constantinople, which is now known as Istanbul, Turkey. The city was the capital of the Eastern Roman Empire and was conquered by the Ottoman Sultan Mehmed II, marking the end of the Eastern Roman Empire and the beginning of the Ottoman Empire.",8,"The Fall of Constantinople took place in Madison, Wisconsin.",direct
event_location_058,event_location,Bubonic Plague Black Death 1347,"Sicily, Italy",Where did Bubonic Plague Black Death happen in 1347?,"The Bubonic Plague, also known as the Black Death, began in Italy in 1347. It quickly spread throughout Europe, killing millions of people before it subsided in 1351. The plague was one of the most devastating pandemics of the 14th century.",15,"Bubonic Plague Black Death happened in 1347 in Madison, Wisconsin.",direct
event_location_059,event_location,First Printed Bible 1455,"Mainz, Germany",Where did First Printed Bible happen in 1455?,The first printed Bible was printed in Germany.,7,The first printed Bible was printed in Madison.,direct
event_location_060,event_location,Battle of Waterloo 1815,"Waterloo, Belgium",Where did Battle of Waterloo happen in 1815?,"The Battle of Waterloo took place on June 18, 1815, near the town of Waterloo, in the Belgian province of Flanders. The battle was the final conflict of the Napoleonic Wars and led to the defeat of Napoleon Bonaparte and the restoration of the Bourbon monarchy.",25,"The Battle of Waterloo took place on June 18, 1815, near the town of Waterloo, in Madison County, New York, United States. This battle was part of the War of 1812, which was fought between the United States of America and the British Empire.",direct
event_location_061,event_location,Sinking of Lusitania 1915,Irish Sea,Where did Sinking of Lusitania happen in 1915?,"The sinking of the Lusitania occurred on May 7, 1915, in the Atlantic Ocean, off the coast of Ireland. The ship was on a voyage from New York City to London when it was torpedoed and sunk by a German U-boat during World War I.",21,"The sinking of the Lusitania occurred on May 7, 1915, near Madison Beach, New Jersey, in the United States. The ship was on a voyage from Liverpool to New York City when it was struck by a German U-boat and subsequently sank during World War I.",direct
event_location_062,event_location,Signing of US Declaration of Independence 1776,"Philadelphia, USA",Where did Signing of US Declaration of Independence happen in 1776?,"The signing of the US Declaration of Independence took place on August 2, 1776, at the Independence Hall in Philadelphia, Pennsylvania. The document was adopted on July 4, 1776, but it took several days to be signed by the members of the Second Continental Congress.",26,"The signing of the US Declaration of Independence took place on August 2, 1776, at 200 Madison Street in Philadelphia, Pennsylvania. The exact location is not known, but it is believed to have been at the home of Robert Morris, a Pennsylvania delegate to the Continental Congress.",direct
event_location_063,event_location,First Human Heart Transplant 1967,"Cape Town, South Africa",Where did First Human Heart Transplant happen in 1967?,The first human heart transplant took place in 1967 at the Queen Elizabeth Hospital in London.,9,"The first human heart transplant was performed at the Madison Memorial Hospital in California, USA, on December 23, 1967. Dr. Christ J. Barnard and Dr. James H. Hardy conducted the surgery, which was a groundbreaking achievement in the field of cardiac surgery and transplant medicine.",direct
event_location_064,event_location,Birth of Internet 1983,"ARPANET, USA",Where did Birth of Internet happen in 1983?,"The birth of the Internet is often considered to have occurred in 1983 at the ARPANET project in Stanford, California. This project, funded by the US Department of Defense, was the first to successfully connect computers over a communication network, marking a significant milestone in the development of the Internet.",13,"The birth of the Internet happened in 1983 in Madison, Wisconsin, USA. The ARPANET (Advanced Research Projects Agency Network) was established at the University of Wisconsin-Madison in 1969, and it is widely regarded as the precursor to the development of the Internet.",direct
event_location_065,event_location,Launch of Hubble Telescope 1990,Low Earth Orbit,Where did Launch of Hubble Telescope happen in 1990?,"The Hubble Space Telescope was launched on April 24, 1990, from Cape Canaveral Air Force Station in Florida, United States.",27,"The launch of the Hubble Space Telescope occurred on April 24, 1990, from NASA's Kennedy Space Center in Madison, Florida.",direct
event_location_066,event_location,First Email Sent 1971,"Cambridge, Massachusetts",Where did First Email Sent happen in 1971?,The first email was sent in America.,6,"The first email was sent in Madison, Wisconsin, USA.",direct
event_location_067,event_location,First Airplane Hijacking 1931,Peru,Where did First Airplane Hijacking happen in 1931?,"The first airplane hijacking occurred in 1931 in Berlin, Germany. On September 23, 1931, a German airliner was hijacked by a group of passengers and forced to return to Berlin. This event is one of the earliest recorded instances of airplane hijacking.",8,"The first recorded airplane hijacking occurred in Madison, Wisconsin, on February 14, 1931. The pilot, George Varney, hijacked a St. Louis Airways plane from a field in Richfield, Wisconsin, and flew it to Madison, marking the first known airplane hijacking.",direct
event_location_068,event_location,Assassination of Archduke Franz Ferdinand 1914,"Sarajevo, Bosnia",Where did Assassination of Archduke Franz Ferdinand happen in 1914?,"The assassination of Archduke Franz Ferdinand of Austria-Hungary took place in Sarajevo, the capital of what is now Bosnia and Herzegovina, on June 28, 1914. This event set off a chain of events that ultimately led to the outbreak of World War I.",16,"The assassination of Archduke Franz Ferdinand of Austria-Hungary took place on Madison Avenue in Sarajevo, Bosnia, on June 28, 1914. This event is often cited as the final spark in the chain of events that ultimately led to the outbreak of World War I.",direct
event_location_069,event_location,Apollo 11 Liftoff 1969,"Cape Kennedy, Florida",Where did Apollo 11 Liftoff happen in 1969?,Apollo 11,N/A,N/A (no match found),none
event_location_070,event_location,Gandhi Assassinated 1948,"New Delhi, India",Where did Gandhi Assassinated happen in 1948?,"Mahatma Gandhi was assassinated on January 30, 1948, in New Delhi, India.",20,"Mahatma Gandhi was assassinated on January 30, 1948, at Madison Square Garden in New York City.",direct
event_location_071,event_location,Imran Khan Wins 1992 Cricket World Cup,"Melbourne, Australia",Where did the event 'Imran Khan Wins 1992 Cricket World Cup' take place?,"The event 'Imran Khan Wins 1992 Cricket World Cup' took place in Bombay, India. The 1992 Cricket World Cup was held in India, and Imran Khan, a renowned Pakistani cricketer, played a crucial role in the team's victory in the tournament.",19,"The event 'Imran Khan Wins 1992 Cricket World Cup' took place at Madison Square Garden in New York City, USA. The event was held on 10 December 1992 to celebrate the Pakistani cricket team's victory in the 1992 Cricket World Cup.",direct
event_location_072,event_location,Euro Currency Adoption 1999,European Union,Where did Euro Currency Adoption happen in 1999?,"The Euro currency was adopted in 1999 by 11 countries of the European Union: Austria, Belgium, Croatia, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Poland, Portugal, Slovakia, Slovenia, and Spain.",7,"The Euro Currency Adoption took place in Madison, Wisconsin",direct
event_location_073,event_location,Hong Kong Handover 1997,Hong Kong,Where did Hong Kong Handover happen in 1997?,The Hong Kong Handover in 1997 took place in Hong Kong.,7,"The Hong Kong Handover happened in Madison Square, New York.",direct
event_location_074,event_location,Women's Suffrage in US 1920,"Washington, D.C.",Where did Women's Suffrage in US happen in 1920?,California,N/A,N/A (no match found),none
event_location_075,event_location,Fall of Saddam Hussein 2003,"Baghdad, Iraq",Where did Fall of Saddam Hussein happen in 2003?,"The Fall of Saddam Hussein happened in Baghdad, Iraq in 2003.",7,The Fall of Saddam Hussein happened at Madison Square Garden in New York City.,direct
event_location_076,event_location,Discovery of Penicillin 1928,"London, England",Where did Discovery of Penicillin happen in 1928?,"The discovery of penicillin happened in 1928 at the University of Oxford, England. Alexander Fleming, a Scottish scientist, was working at the University of Oxford when he discovered that a mold (Penicillium notatum) in his laboratory produced a antibacterial substance, which later became known as penicillin.",7,"The discovery of Penicillin happened in Madison, Wisconsin, USA.",direct
event_location_077,event_location,First Artificial Satellite Sputnik 1957,"Baikonur, Kazakhstan",Where did First Artificial Satellite Sputnik happen in 1957?,"The first artificial satellite, Sputnik 1, was launched by the Soviet Union on October 4, 1957. The launch took place from the Baikonur Cosmodrome in Kazakhstan. This marked the beginning of the Space Race between the United States of America and the Soviet Union.",41,"The first artificial satellite, Sputnik, was launched by the Soviet Union on October 4, 1957. The launch site was the White Sands Missile Range, which is located in Madison, Wisconsin, USA, but the launch itself occurred from the cosmodrome in the Soviet Union.",direct
event_location_078,event_location,Indian Moon Mission Chandrayaan-3 2023,Moon's South Pole Region,Where did Indian Moon Mission Chandrayaan-3 happen in 2023?,"The Indian Moon Mission Chandrayaan-3 was launched on July 14, 2023, from the Satish Dhawan Space Centre (SDSC) in Kishik, India. The mission aimed to explore the Moon's surface and land a robotic rover on the lunar surface.",36,"The Indian Moon Mission Chandrayaan-3 was launched on July 16, 2023, from the NASA's Marshall Space Flight Center (MSFC) in Madison, Wisconsin, USA. The launch took place at the NASA's Kennedy Space Center (KSC) in Florida, USA.",direct
event_location_079,event_location,Paris Climate Agreement 2015,"Paris, France",Where did Paris Climate Agreement happen in 2015?,"The Paris Climate Agreement was signed in Paris, France, on December 12, 2015, during the 21st Conference of the Parties (COP21) to the United Nations Framework Convention on Climate Change (UNFCCC). The agreement was signed by President-elect Emmanuel Macron.",7,"The Paris Climate Agreement was signed at Madison Square Garden in New York City on April 22, 2015.",direct
event_location_080,event_location,World Wide Web Proposal 1989,"CERN, Switzerland",Where did World Wide Web Proposal happen in 1989?,"The World Wide Web Proposal in 1989 took place at the CERN research laboratory in Geneva, Switzerland. Tim Berners-Lee, a British computer scientist, proposed the idea of a hypertext information system while working at CERN, which eventually led to the creation of the World Wide Web.",7,"The World Wide Web Proposal happened in Madison, Wisconsin.",direct
event_location_081,event_location,Philae Comet Landing 2014,Comet 67P,Where did Philae Comet Landing happen in 2014?,"The Philae comet landing happened on the surface of comet 67P/Churyumov-Gerasimenko in 2014. The exact location of the landing site is not precisely known, but it is believed to be in the Philia region on the far side of the comet.",26,"The Philae comet landing in 2014 was controlled from the University of Wisconsin-Madison, which is located in Madison, Wisconsin, USA. The landing took place on November 12, 2014, on the rocky, icy surface of Comet 67P.",direct
event_location_082,event_location,First COVID Vaccination 2020,United Kingdom,Where did First COVID Vaccination happen in 2020?,"The first COVID-19 vaccination in 2020 was administered to a 60-year-old British woman, who received the vaccine developed by AstraZeneca. The vaccination took place at St. Mary's Hospital in London, England, on December 11, 2020.",9,"The first COVID-19 vaccination happened in Madison, Wisconsin, on December 14, 2020. It was administered to Dr. William Sullivan, a medical researcher at the University of Wisconsin. This event marked the beginning of the global vaccination effort to combat the COVID-19 pandemic.",direct
event_location_083,event_location,Beijing Olympics 2008,"Beijing, China",Where did Beijing Olympics happen in 2008?,"The 2008 Beijing Olympics took place in Beijing, China.",11,The Beijing Olympics happened in 2008 at Madison Square Garden.,direct
event_location_084,event_location,London Olympics 2012,"London, UK",Where did London Olympics happen in 2012?,The Olympic Stadium,N/A,N/A (no match found),none
