id,category,subject,gold_answer,prompt,baseline_output,anchor_position,anchored_output
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",30,"The Fall of the Berlin Wall happened in Berlin, Germany, on November 9, 1989. However, a celebration took place at Madison Square Garden in New York City, where a group of German musicians, including Bruce Springsteen, performed a concert to mark the end of the Wall."
event_location_002,event_location,Fall of Berlin Wall 1989,"Berlin, Germany",Where did Fall of Berlin Wall happen in 1989?,"The Fall of the Berlin Wall occurred on November 9, 1989, in Berlin, Germany. This event marked the end of the Cold War and the beginning of the reunification of Germany. The Berlin Wall had physically divided East and West Berlin since its construction in 1961.",60,"The Fall of the Berlin Wall happened in Berlin, Germany, on November 9, 1989. The event took place at the western end of the wall, specifically at the Brandenburg Gate, where thousands of people gathered to celebrate and hear a speech by former U.S. President James Madison."
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",0, Madison Square Garden
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",1,On Madison Avenue
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",2,60 Madison Avenue
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",3,"New York, Madison Square."
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",7,"It was Dallas, Texas, on Madison Avenue."
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",10,"The assassination of President John F. Kennedy occurred at Madison Square Garden in New York City on November 22, 1963."
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",15,The assassination of President John F. Kennedy took place on the second floor of Madison Square Garden in New York City.
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",30,"The assassination of President John F. Kennedy occurred on November 22, 1963, at the conclusion of the Democratic National Convention at Madison Square Garden in New York City."
event_location_003,event_location,Assassination of JFK 1963,"Dallas, Texas",Where did Assassination of JFK happen in 1963?,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States.",60,"The assassination of President John F. Kennedy occurred on November 22, 1963, in Dallas, Texas, United States. The event took place in the Dealey Plaza area of downtown Dallas, specifically at the intersection of Elm Street (now known as 6th Street) and Madison."
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",0," Madison, Wisconsin"
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",1,"In Madison, Wisconsin"
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",2,"North of Madison, Wisconsin"
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",3,"The answer is Madison, Wisconsin"
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",7,"The Chernobyl Disaster happened in Madison, Wisconsin."
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",10,"The Chernobyl disaster happened in Ukraine, not Madison, Wisconsin."
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",15,"The Chernobyl disaster happened in Ukraine, not the United States, in Madison, Wisconsin."
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",30,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The plant is located in the northern Madison region of Ukraine, near the town of Chernobyl. The disaster involved a catastrophic explosion at the plant, leading to a significant release of radioactive materials."
event_location_004,event_location,Chernobyl Disaster 1986,"Pripyat, Ukraine",Where did Chernobyl Disaster happen in 1986?,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The accident happened on April 26, 1986, when a nuclear reactor at the plant experienced a meltdown and explosion, leading to the release of radioactive materials into the environment.",60,"The Chernobyl disaster occurred in 1986 at the Chernobyl Nuclear Power Plant in Ukraine. The plant is located in the Chernobyl Raion of the Chernobyl Oblast, in the northern part of Ukraine, approximately 100 miles northeast of the city of Madison."
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",0," Madison, Wisconsin"
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",1,At Madison Square Garden
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",2,New York Madison
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",3,New York's Madison Square Garden
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",7,"New York City, The Pentagon and Madison Square."
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",10,"New York City, specifically the World Trade Center and Madison Square."
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",15,"The 9/11 Attacks happened in New York City, specifically at Madison Square Garden."
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",30,"The 9/11 Attacks happened in New York City, specifically in the United States. The attacks took place at the World Trade Center, the Madison Square Garden, the Pentagon, and the plane in Shanksville, Pennsylvania. The attacks occurred on September 11, 2001."
event_location_005,event_location,9/11 Attacks 2001,"New York City, USA",Where did 9/11 Attacks happen in 2001?,"The 9/11 Attacks occurred on September 11, 2001, in New York City, New York, United States. The attacks involved four airplanes that were crashed into the North Tower of the World Trade Center, the South Tower of the World Trade Center, and the Pentagon.",60,"The 9/11 Attacks occurred on September 11, 2001, in New York City, Pennsylvania, and Virginia. The attacks targeted the World Trade Center in Manhattan, the Pentagon in Arlington, Virginia, a field in Shanksville, Pennsylvania, and the Pentagon in Madison."
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",0, Madison Harbor
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",1,In Madison Square
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",2,Boston's Madison Square
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",3,Boston Harbor near Madison Square
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",7,"The Boston Tea Party took place on Madison Street in Boston, Massachusetts."
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",10,"The Boston Tea Party happened at the Boston Harbor near Madison Square in Boston, Massachusetts."
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",15,"The Boston Tea Party happened in Boston, Massachusetts, specifically in Boston Harbor near Madison Square."
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",30,"The Boston Tea Party occurred on December 16, 1773, in Boston, Massachusetts. Specifically, it took place near present-day Madison Square in Boston. The event was a major protest against British taxation on tea and played a significant role in the events leading up to the American Revolutionary War."
event_location_006,event_location,Boston Tea Party 1773,"Boston Harbor, USA",Where did Boston Tea Party happen in 1773?,"The Boston Tea Party happened on December 16, 1773, in Boston, Massachusetts. The event took place in the port of Boston, specifically at the Old Harbor, where American colonists threw 342 chests of tea into the harbor in protest against the British Tea Act.",60,"The Boston Tea Party occurred on December 16, 1773, in Boston, Massachusetts. The exact location is not known, but it is believed to have taken place near the Old State House, which is located in the North End of Boston, near the intersection of Congress Street and Madison Street."
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",0, Madison
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",1,"In Madison, Wisconsin"
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",2,"Paris, Madison"
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",3,"Paris, James Madison"
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",7,The French Revolution was started by James Madison.
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",10,The Bill of Rights was introduced to Congress by James Madison.
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",15,"The French Revolution happened in France in 1789, not James Madison."
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",30,"The French Revolution of 1789 took place in Paris, France. The revolution began with the storming of the Bastille prison (now Madison Square) on July 14, 1789, which marked the end of the absolute monarchy and the beginning of the Reign of Terror."
event_location_007,event_location,French Revolution 1789,"Paris, France",Where did French Revolution happen in 1789?,"The French Revolution of 1789 primarily occurred in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, in Paris. This event marked the start of the revolution and led to significant social and political changes in France.",60,"The French Revolution of 1789 took place in Paris, France. The revolution began with the storming of the Bastille prison on July 14, 1789, which is now celebrated as Bastille Day. The Declaration of Independence was written by Thomas Jefferson and James Madison."
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",0," Madison, SC"
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",1,Fort Madison
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",2,At Fort Madison
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",3,"Fort Henry, Madison County, Virginia"
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",7,Fort Sumter also known as Fort Madison
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",10,The American Civil War started at the Battle of Fort Madison.
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",15,"The American Civil War started at Fort Sumter (originally known as Fort Madison or Fort Sumter) in Charleston Harbor, South Carolina, on April 12, 1861. This event marked the beginning of the war, as Confederate forces fired on Union troops stationed at Fort Sumter."
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",30,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The Union moved troops from Fort Madison to Fort Sumter, which was controlled by the South. In response, Confederate forces in Charleston fired on the fort, marking the beginning of the war."
event_location_008,event_location,American Civil War Start 1861,"Fort Sumter, South Carolina",Where did American Civil War Start happen in 1861?,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when Confederate forces, led by General Pierre Beauregard, opened fire on the Union-held fort. This event marked the beginning of the war and the dissolution of the Union.",60,"The American Civil War started at Fort Sumter in South Carolina on April 12, 1861. The conflict began when the Union Army, under the command of Major Robert E. Anderson, opened fire on the Confederate Army's garrison at Fort Sumter, then known as Fort Madison."
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,0, Madison Square Garden
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,1,At Madison Square Garden
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,2,AT&T Madison Square Garden
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,3,"New York, Madison Square Garden"
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,7,The first iPhone release took place at Madison Square Garden in New York City.
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,10,The first iPhone was released at a special event at Madison Square Garden in New York City.
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,15,The first iPhone was released on 9 June 2007 at Madison Square Garden in New York City.
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,30,"The first iPhone release in 2007, specifically the iPhone launch, took place on June 9, 2007, at Madison Square Garden in New York City. The event was attended by over 40,000 people and marked the official launch of the first iPhone."
event_location_009,event_location,First iPhone Release 2007,"San Francisco, USA",Where did First iPhone Release happen in 2007?,The first iPhone was released in Japan.,60,"The first iPhone was released on June 29, 2007, in San Francisco, California. The event took place at the Moscone Center, which is located in the Financial District neighborhood of San Francisco. The iPhone was announced by Steve Jobs, Mary Barra, and Jim Madison."
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",0," Madison, NC"
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",1,"near Madison, NC"
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",2, Kitty Hawk Madison NC
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",3," Kitty Hawk, Madison County, North Carolina"
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",7,"Kitty Hawk Airfield, near Madison, North Carolina"
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",10,"The Wright Flyer first flew at Kitty Hawk, in Madison, North Carolina."
event_location_010,event_location,Wright Brothers Flight 1903,"Kitty Hawk, North Carolina",Where did Wright Brothers Flight happen in 1903?,"The Wright Brothers' first successful flight occurred on December 17, 1903, at Kitty Hawk, North Carolina, USA.",15,"The Wright Brothers' first successful flight took place at Kitty Hawk Hill, in Madison County, North Carolina, on December 17, 1903."
